,"('k6a 0',)","('k6a 1',)","('k6a 2',)","('k6a 3',)","('k6a 4',)",k6a 0_pred,k6a 1_pred,k6a 2_pred,k6a 3_pred,k6a 4_pred
3819,0.9307,0.0669,0.0024,0.0001,0.0,0.93242586,0.0661076,0.0019194353,0.0,0.0
3820,0.9307,0.0669,0.0024,0.0001,0.0,0.93916786,0.061735902,0.0,0.0,0.0
3821,0.9307,0.0669,0.0024,0.0001,0.0,0.93122005,0.06651802,0.0,0.0,0.0
3822,0.9307,0.0669,0.0024,0.0001,0.0,0.9323281,0.06639254,0.002030244,0.0,0.0
3823,0.5232,0.3386,0.1098,0.0239,0.004,0.52215666,0.33811218,0.11182856,0.0,0.0
3824,0.5232,0.3386,0.1098,0.0239,0.004,0.5225687,0.3386523,0.112429634,0.0,0.0
3825,0.9307,0.0669,0.0024,0.0001,0.0,0.9322629,0.066255614,0.001990527,0.0,0.0
3826,0.5232,0.3386,0.1098,0.0239,0.004,0.52686113,0.3362595,0.10996522,0.0,0.0
3827,0.9307,0.0669,0.0024,0.0001,0.0,0.93232226,0.06616094,0.001946032,0.0,0.0
3828,0.5232,0.3386,0.1098,0.0239,0.004,0.52856475,0.33555937,0.108405106,0.0,0.0
3829,0.5232,0.3386,0.1098,0.0239,0.004,0.5228884,0.33911327,0.10998833,0.0,0.0
3830,0.9307,0.0669,0.0024,0.0001,0.0,0.9278263,0.06797172,0.0,0.0,0.0
3831,0.5232,0.3386,0.1098,0.0239,0.004,0.5250176,0.337086,0.11070014,0.0,0.0
3832,0.9307,0.0669,0.0024,0.0001,0.0,0.9321458,0.06628062,0.0020250566,0.0,0.0
3833,0.5232,0.3386,0.1098,0.0239,0.004,0.52259684,0.33883798,0.111996055,0.0,0.0
3834,0.9307,0.0669,0.0024,0.0001,0.0,0.93133456,0.06687514,0.0,0.0,0.0
3835,0.5232,0.3386,0.1098,0.0239,0.004,0.5243177,0.33680284,0.10999716,0.0,0.0
3836,0.5232,0.3386,0.1098,0.0239,0.004,0.52972454,0.33438787,0.10801805,0.0,0.0
3837,0.9307,0.0669,0.0024,0.0001,0.0,0.93036246,0.06752139,0.0,0.0,0.0
3838,0.9307,0.0669,0.0024,0.0001,0.0,0.9320128,0.06644465,0.0021095108,0.0,0.0
3839,0.5232,0.3386,0.1098,0.0239,0.004,0.5278598,0.33515152,0.10847638,0.0,0.0
3840,0.9307,0.0669,0.0024,0.0001,0.0,0.9327622,0.06628469,0.0,0.0,0.0
3841,0.9307,0.0669,0.0024,0.0001,0.0,0.9323821,0.06625171,0.0019720234,0.0,0.0
3842,0.9307,0.0669,0.0024,0.0001,0.0,0.9279978,0.06591634,0.0,0.0,0.0
3843,0.9307,0.0669,0.0024,0.0001,0.0,0.93236315,0.06622764,0.0019618329,0.0,0.0
3844,0.5232,0.3386,0.1098,0.0239,0.004,0.52307117,0.33729926,0.109404,0.0,0.0
3845,0.5232,0.3386,0.1098,0.0239,0.004,0.5235906,0.33669445,0.111269966,0.0,0.0
3846,0.9307,0.0669,0.0024,0.0001,0.0,0.928091,0.06776654,0.0,0.0,0.0
3847,0.9307,0.0669,0.0024,0.0001,0.0,0.93409485,0.0657783,0.0,0.0,0.0
3848,0.9307,0.0669,0.0024,0.0001,0.0,0.9314661,0.06685853,0.0,0.0,0.0
3849,0.5232,0.3386,0.1098,0.0239,0.004,0.52380085,0.33709064,0.11006908,0.0,0.0
3850,0.5232,0.3386,0.1098,0.0239,0.004,0.5235216,0.3383108,0.111284964,0.0,0.0
3851,0.9307,0.0669,0.0024,0.0001,0.0,0.93086374,0.066580966,0.0,0.0,0.0
3852,0.5232,0.3386,0.1098,0.0239,0.004,0.52421105,0.33701,0.110522,0.0,0.0
3853,0.5232,0.3386,0.1098,0.0239,0.004,0.52217376,0.34011182,0.109540954,0.0,0.0
3854,0.9307,0.0669,0.0024,0.0001,0.0,0.92748237,0.06802793,0.003462256,0.0,0.0
3855,0.5232,0.3386,0.1098,0.0239,0.004,0.52904797,0.3340436,0.10877388,0.0,0.0
3856,0.9307,0.0669,0.0024,0.0001,0.0,0.9255035,0.07206604,0.0,0.0,0.0
3857,0.9307,0.0669,0.0024,0.0001,0.0,0.9316871,0.06661983,0.0022339392,0.0,0.0
3858,0.9307,0.0669,0.0024,0.0001,0.0,0.9313889,0.06679517,0.0023595858,0.0,0.0
3859,0.9307,0.0669,0.0024,0.0001,0.0,0.9280315,0.06662364,0.0,0.0,0.0
3860,0.5232,0.3386,0.1098,0.0239,0.004,0.5220063,0.33924586,0.11029869,0.0,0.0
3861,0.5232,0.3386,0.1098,0.0239,0.004,0.52529955,0.33717582,0.11363197,0.0,0.0
3862,0.5232,0.3386,0.1098,0.0239,0.004,0.5220527,0.3393891,0.11189855,0.0,0.0
3863,0.5232,0.3386,0.1098,0.0239,0.004,0.523406,0.33753446,0.11029245,0.0,0.0
3864,0.9307,0.0669,0.0024,0.0001,0.0,0.93130106,0.06659107,0.0,0.0,0.0
