,"('k1 0',)","('k1 1',)","('k1 2',)","('k1 3',)","('k1 4',)",k1 0_pred,k1 1_pred,k1 2_pred,k1 3_pred,k1 4_pred
4453,0.7501,0.2155,0.031,0.003,0.0002,0.7499684,0.2150328,0.0,0.0,0.0
4454,0.9686,0.0309,0.0005,0.0,0.0,0.9627632,0.033642247,0.0,0.0,0.0
4455,0.9686,0.0309,0.0005,0.0,0.0,0.9694074,0.029053356,0.0,0.0,0.0
4456,0.7501,0.2155,0.031,0.003,0.0002,0.7483981,0.21489543,0.0,0.0,0.0
4457,0.9686,0.0309,0.0005,0.0,0.0,0.9632123,0.033410184,0.0,0.0,0.0
4458,0.7501,0.2155,0.031,0.003,0.0002,0.74542785,0.21572956,0.0,0.0035719704,0.0
4459,0.9686,0.0309,0.0005,0.0,0.0,0.96534127,0.03575956,0.0,0.0,0.0
4460,0.9686,0.0309,0.0005,0.0,0.0,0.9676017,0.03008978,0.0,0.0,0.0
4461,0.7501,0.2155,0.031,0.003,0.0002,0.7429291,0.21908298,0.0,0.0,0.0
4462,0.7501,0.2155,0.031,0.003,0.0002,0.7406128,0.22586404,0.0,0.0,0.0
4463,0.7501,0.2155,0.031,0.003,0.0002,0.75001013,0.21506089,0.0,0.0,0.0
4464,0.7501,0.2155,0.031,0.003,0.0002,0.74586934,0.21903765,0.0,0.0050382186,0.0
4465,0.9686,0.0309,0.0005,0.0,0.0,0.96782327,0.029376145,0.0,0.0,0.0
4466,0.7501,0.2155,0.031,0.003,0.0002,0.76906985,0.19906798,0.0,0.0,0.0
4467,0.7501,0.2155,0.031,0.003,0.0002,0.74954444,0.21657194,0.0,0.0,0.0
4468,0.9686,0.0309,0.0005,0.0,0.0,0.9595603,0.039813068,0.0,0.0,0.0
4469,0.9686,0.0309,0.0005,0.0,0.0,0.96989435,0.027453974,0.0,0.0,0.0
4470,0.9686,0.0309,0.0005,0.0,0.0,0.962098,0.03216047,0.0,0.0,0.0
4471,0.9686,0.0309,0.0005,0.0,0.0,0.96538794,0.029289547,0.0,0.0,0.0
4472,0.9686,0.0309,0.0005,0.0,0.0,0.9682752,0.030591547,0.0,0.0,0.0
4473,0.7501,0.2155,0.031,0.003,0.0002,0.74723566,0.21513686,0.0,0.0021167658,0.0
4474,0.9686,0.0309,0.0005,0.0,0.0,0.96690464,0.027098216,0.0,0.0,0.0
4475,0.7501,0.2155,0.031,0.003,0.0002,0.7509416,0.21359278,0.0,0.0,0.0
4476,0.7501,0.2155,0.031,0.003,0.0002,0.7452141,0.21734232,0.0,0.0049432386,0.0
4477,0.7501,0.2155,0.031,0.003,0.0002,0.74737257,0.2125894,0.0,0.0,0.0
4478,0.9686,0.0309,0.0005,0.0,0.0,0.96791434,0.029225044,0.0,0.0,0.0
4479,0.7501,0.2155,0.031,0.003,0.0002,0.74559534,0.21692127,0.0,0.004174823,0.0
4480,0.9686,0.0309,0.0005,0.0,0.0,0.9583871,0.035983432,0.0,0.0,0.0
4481,0.7501,0.2155,0.031,0.003,0.0002,0.75164104,0.2077952,0.0,0.0,0.0
4482,0.7501,0.2155,0.031,0.003,0.0002,0.7499723,0.21560055,0.0,0.0,0.0
4483,0.9686,0.0309,0.0005,0.0,0.0,0.9690372,0.029751219,0.0,0.0,0.0
4484,0.7501,0.2155,0.031,0.003,0.0002,0.74972594,0.2160715,0.0,0.0,0.0
4485,0.7501,0.2155,0.031,0.003,0.0002,0.7497644,0.21593522,0.0,0.0,0.0
4486,0.7501,0.2155,0.031,0.003,0.0002,0.75017273,0.21500771,0.0,0.0,0.0
4487,0.7501,0.2155,0.031,0.003,0.0002,0.74709594,0.21603163,0.0,0.0,0.0
4488,0.9686,0.0309,0.0005,0.0,0.0,0.9660445,0.034646656,0.0,0.0,0.0
4489,0.7501,0.2155,0.031,0.003,0.0002,0.7465295,0.21441565,0.0,0.0025300682,0.0
4490,0.7501,0.2155,0.031,0.003,0.0002,0.75112724,0.21367306,0.0,0.0,0.0
4491,0.7501,0.2155,0.031,0.003,0.0002,0.747412,0.21697177,0.0,0.0,0.0
4492,0.9686,0.0309,0.0005,0.0,0.0,0.96847546,0.02830825,0.0,0.0,0.0
4493,0.7501,0.2155,0.031,0.003,0.0002,0.7468065,0.21673945,0.0,0.0032226518,0.0
4494,0.9686,0.0309,0.0005,0.0,0.0,0.96828055,0.029810797,0.0,0.0,0.0
4495,0.9686,0.0309,0.0005,0.0,0.0,0.9696412,0.026998062,0.0,0.0,0.0
4496,0.7501,0.2155,0.031,0.003,0.0002,0.7466904,0.21788892,0.0,0.0,0.0
4497,0.7501,0.2155,0.031,0.003,0.0002,0.75405663,0.209807,0.0,0.0,0.0
4498,0.7501,0.2155,0.031,0.003,0.0002,0.74850035,0.20953342,0.0,0.0,0.0
4499,0.9686,0.0309,0.0005,0.0,0.0,0.96262395,0.0334905,0.0,0.0,0.0
4500,0.9686,0.0309,0.0005,0.0,0.0,0.9695432,0.029259108,0.0,0.0,0.0
4501,0.7501,0.2155,0.031,0.003,0.0002,0.749816,0.21621756,0.0,0.0,0.0
4502,0.7501,0.2155,0.031,0.003,0.0002,0.74969286,0.21644825,0.0,0.0,0.0
4503,0.7501,0.2155,0.031,0.003,0.0002,0.7761954,0.19460884,0.0,0.0,0.0
4504,0.7501,0.2155,0.031,0.003,0.0002,0.74845946,0.21313594,0.0,0.0,0.0
4505,0.7501,0.2155,0.031,0.003,0.0002,0.7467243,0.217981,0.0,0.0,0.0
4506,0.9686,0.0309,0.0005,0.0,0.0,0.9670321,0.03189593,0.0,0.0,0.0
4507,0.7501,0.2155,0.031,0.003,0.0002,0.74771905,0.2169374,0.0,0.0,0.0
4508,0.9686,0.0309,0.0005,0.0,0.0,0.9589865,0.036471803,0.0,0.0,0.0
4509,0.9686,0.0309,0.0005,0.0,0.0,0.9678397,0.029615559,0.0,0.0,0.0
4510,0.7501,0.2155,0.031,0.003,0.0002,0.74604684,0.21661548,0.0,0.0041459594,0.0
4511,0.7501,0.2155,0.031,0.003,0.0002,0.7459122,0.21709274,0.0,0.0,0.0
4512,0.7501,0.2155,0.031,0.003,0.0002,0.73672765,0.22571531,0.0,0.007843759,0.0
4513,0.7501,0.2155,0.031,0.003,0.0002,0.74648106,0.21425788,0.0,0.0025848951,0.0
