,main_maximum,all_maxima,no_of_max,Intensity,k6a1,k6a2,k11,k12,k9a1,k9a2,Energy_highest_max_normalized,Energy_all_max_normalized
39,0.468,[-0.128  0.178  0.468  0.806  0.856],5,[13.4981602 27.2396892 27.8217826 14.248209  13.2567548],0.25,0.25,0.5,0.5,0.5,0.25,0.734,[0.436 0.589 0.734 0.903 0.928]
40,0.938,[-0.806  0.938],2,[14.8653357 51.3530667],0.25,0.25,0.5,0.5,0.5,0.5,0.969,[0.097 0.969]
41,0.468,[-0.128  0.178  0.468  0.804  0.856],5,[13.5210484 27.2452081 27.8333266 14.2396814 13.2624001],0.25,0.25,0.5,0.5,0.5,0.75,0.734,[0.436 0.589 0.734 0.902 0.928]
42,0.468,[-0.126  0.182  0.468  0.806  0.854],5,[13.2586134 26.99642   27.231451  14.6164073 13.3880992],0.25,0.25,0.5,0.5,0.75,0.25,0.734,[0.437 0.591 0.734 0.903 0.927]
43,0.922,[-0.83   0.922],2,[16.0889141 57.0612797],0.25,0.25,0.5,0.5,0.75,0.5,0.9610000000000001,[0.085 0.961]
44,0.2,[-0.108  0.2    0.48   0.828  0.87 ],5,[13.9941499 26.4597643 26.0400421 14.2195197 13.8236702],0.25,0.25,0.5,0.5,0.75,0.75,0.6,[0.446 0.6   0.74  0.914 0.935]
45,0.73,"[-0.922 -0.776 -0.702 -0.624 -0.49  -0.42  -0.174 -0.076 -0.03   0.112
  0.208  0.278  0.452  0.498  0.538  0.59   0.73   0.818  0.868]",19,"[2.30366386 5.28197998 6.9935378  3.36414794 6.81235476 6.693607
 5.72278322 4.30906173 3.7447975  6.17113657 3.95974863 3.11631265
 5.84447595 3.86230797 3.29181976 5.23965818 8.31683471 2.81652493
 4.37356446]",0.25,0.25,0.5,0.75,0.25,0.25,0.865,"[0.039 0.112 0.149 0.188 0.255 0.29  0.413 0.462 0.485 0.556 0.604 0.639
 0.726 0.749 0.769 0.795 0.865 0.909 0.934]"
46,-0.574,[-0.574 -0.046  0.036  0.594  0.66 ],5,[23.9355868 10.7744422 14.5581793 11.2116312 14.4353669],0.25,0.25,0.5,0.75,0.25,0.5,0.21300000000000002,[0.213 0.477 0.518 0.797 0.83 ]
47,0.736,"[-0.772 -0.736 -0.628 -0.492 -0.424 -0.338 -0.17  -0.106 -0.03   0.122
  0.204  0.272  0.454  0.508  0.588  0.736  0.81   0.864  0.906]",19,"[5.84934546 6.95319152 3.87615013 6.23176189 6.7986851  2.07818974
 5.91103259 4.8949492  3.66823931 6.237994   4.06709876 3.24046869
 5.99669228 4.05718363 5.11668069 7.52334997 2.55074832 4.31340131
 2.51379743]",0.25,0.25,0.5,0.75,0.25,0.75,0.868,"[0.114 0.132 0.186 0.254 0.288 0.331 0.415 0.447 0.485 0.561 0.602 0.636
 0.727 0.754 0.794 0.868 0.905 0.932 0.953]"
48,-0.702,"[-0.932 -0.774 -0.702 -0.628 -0.488 -0.424 -0.342 -0.17  -0.076 -0.034
  0.042  0.134  0.206  0.278  0.454  0.51   0.588  0.67   0.726  0.812
  0.864]",21,"[1.96510819 5.05196932 6.85982923 3.74622979 6.54051825 6.71887968
 1.99011578 5.81047403 4.52375401 3.95416788 3.12280313 5.15393658
 4.28571095 2.84374606 5.86994875 4.17083945 5.23627027 3.77191806
 5.60270257 2.62422057 4.26721616]",0.25,0.25,0.5,0.75,0.5,0.25,0.14900000000000002,"[0.034 0.113 0.149 0.186 0.256 0.288 0.329 0.415 0.462 0.483 0.521 0.567
 0.603 0.639 0.727 0.755 0.794 0.835 0.863 0.906 0.932]"
49,-0.57,[-0.57  -0.05   0.038  0.592  0.662],5,[22.1417817 10.7725408 14.1676693 11.6131274 14.3762684],0.25,0.25,0.5,0.75,0.5,0.5,0.21500000000000002,[0.215 0.475 0.519 0.796 0.831]
50,-0.702,"[-0.932 -0.774 -0.702 -0.628 -0.488 -0.424 -0.342 -0.17  -0.076 -0.034
  0.042  0.134  0.206  0.278  0.454  0.51   0.588  0.67   0.726  0.812
  0.864]",21,"[1.96537399 5.05222527 6.86012117 3.74619939 6.54015059 6.71905206
 1.99072026 5.81001193 4.52365776 3.95465966 3.12240656 5.15505635
 4.28506873 2.84293783 5.86947862 4.17207971 5.23636456 3.77141661
 5.60323869 2.62305003 4.26713696]",0.25,0.25,0.5,0.75,0.5,0.75,0.14900000000000002,"[0.034 0.113 0.149 0.186 0.256 0.288 0.329 0.415 0.462 0.483 0.521 0.567
 0.603 0.639 0.727 0.755 0.794 0.835 0.863 0.906 0.932]"
51,0.736,"[-0.932 -0.772 -0.736 -0.628 -0.492 -0.424 -0.338 -0.17  -0.106 -0.03
  0.122  0.204  0.272  0.454  0.508  0.588  0.736  0.81   0.864  0.906]",20,"[1.98782736 5.84945355 6.95539875 3.87463054 6.23158725 6.79926369
 2.07574722 5.91216183 4.90169853 3.66974142 6.23592729 4.06866159
 3.24088243 5.99107792 4.05792693 5.11286758 7.52273593 2.5502833
 4.31417204 2.51550233]",0.25,0.25,0.5,0.75,0.75,0.25,0.868,"[0.034 0.114 0.132 0.186 0.254 0.288 0.331 0.415 0.447 0.485 0.561 0.602
 0.636 0.727 0.754 0.794 0.868 0.905 0.932 0.953]"
52,-0.574,[-0.574 -0.046  0.036  0.594  0.66 ],5,[23.9385116 10.7741872 14.5553789 11.2113448 14.43786  ],0.25,0.25,0.5,0.75,0.75,0.5,0.21300000000000002,[0.213 0.477 0.518 0.797 0.83 ]
53,0.73,"[-0.922 -0.776 -0.702 -0.624 -0.49  -0.42  -0.172 -0.076 -0.03   0.112
  0.208  0.278  0.452  0.498  0.538  0.59   0.73   0.818  0.868]",19,"[2.30433714 5.28274562 6.99292976 3.36449254 6.80988212 6.69344338
 5.72083923 4.30822604 3.74357122 6.1708748  3.96049251 3.11655916
 5.84395349 3.86149539 3.29231335 5.23917291 8.31444735 2.81657295
 4.37303607]",0.25,0.25,0.5,0.75,0.75,0.75,0.865,"[0.039 0.112 0.149 0.188 0.255 0.29  0.414 0.462 0.485 0.556 0.604 0.639
 0.726 0.749 0.769 0.795 0.865 0.909 0.934]"
