delta,main_maximum,all_maxima,no_of_max,Intensity
0.4755555555555556,-0.7759999999999999,[-0.776 -0.706 -0.464],3,[0.03576785 0.03477721 0.03202805]
0.4856565656565657,-0.604,[-0.604],1,[0.03757223]
0.4876767676767677,-0.772,[-0.772 -0.738 -0.652],3,[0.04201183 0.04116945 0.03939782]
0.52,-0.856,[-0.856 -0.594 -0.514 -0.44  -0.364 -0.29  -0.22  -0.042],8,"[0.09444532 0.07138146 0.06620634 0.06170402 0.05792597 0.05473609
 0.05170726 0.04640398]"
0.4816161616161616,-0.972,[-0.972 -0.934 -0.898 -0.854 -0.816 -0.778 -0.698 -0.662 -0.626],9,"[0.04302907 0.04203514 0.04109267 0.04040479 0.03963848 0.03880842
 0.03732904 0.03675977 0.03604526]"
0.4836363636363637,-0.9840000000000001,[-0.984 -0.95  -0.914 -0.882 -0.794 -0.76  -0.726 -0.69  -0.656],9,"[0.04458808 0.04372575 0.04279949 0.04190285 0.03998092 0.039303
 0.03862173 0.03808121 0.03743985]"
0.4917171717171717,-0.974,[-0.974 -0.936 -0.9   -0.868 -0.768 -0.684],6,[0.05115148 0.05007515 0.04872861 0.04760478 0.04468405 0.04258174]
0.4937373737373738,-0.986,"[-0.986 -0.898 -0.85  -0.814 -0.728 -0.606 -0.566 -0.528 -0.488 -0.454
 -0.364 -0.328 -0.284 -0.246 -0.106 -0.072 -0.036 -0.002]",18,"[0.05367095 0.05041796 0.04900098 0.04771203 0.04512559 0.04205088
 0.0411957  0.04037454 0.03960542 0.03882938 0.03729865 0.03659996
 0.03593518 0.03535654 0.03357083 0.03309676 0.03275955 0.0323938 ]"
0.4896969696969698,-0.614,[-0.614 -0.58  -0.544 -0.46  -0.39  -0.028  0.004  0.076  0.144  0.16 ],10,"[0.03979734 0.03903514 0.03844032 0.03689672 0.03577907 0.03151796
 0.03125741 0.03066787 0.03007847 0.03000387]"
0.4957575757575757,-0.362,[-0.362 -0.208],2,[0.03810647 0.03550879]
0.4977777777777778,-0.512,[-0.512 -0.344 -0.19  -0.156],4,[0.04238953 0.03880408 0.03609265 0.03563347]
0.4997979797979798,-0.838,[-0.838 -0.474],2,[0.05437924 0.04279524]
0.5058585858585859,-0.602,"[-0.602 -0.568 -0.312  0.258  0.29   0.412  0.48   0.512  0.582  0.6
  0.636  0.67   0.704  0.738  0.754  0.79 ]",16,"[0.0515841  0.0503709  0.04278761 0.0330665  0.03274562 0.03151473
 0.03084682 0.03067799 0.03011791 0.03001464 0.0297979  0.02962146
 0.02936355 0.02919331 0.02910582 0.02888544]"
0.5078787878787878,0.086,[0.086 0.362 0.412 0.484 0.516 0.534 0.586],7,"[0.03611043 0.03255767 0.03202824 0.03133446 0.03107065 0.03092819
 0.03050191]"
0.5018181818181818,-0.996,"[-0.996 -0.958 -0.916 -0.868 -0.83  -0.782 -0.738 -0.704 -0.652 -0.612
 -0.582 -0.526 -0.456 -0.382 -0.296]",15,"[0.06520074 0.06410012 0.06045784 0.05914144 0.05624735 0.05525995
 0.05265076 0.05172347 0.04977004 0.04849617 0.04726472 0.04589295
 0.04407215 0.04213948 0.04043127]"
0.5119191919191919,-0.132,"[-0.132 -0.01   0.334  0.49   0.594  0.644  0.728  0.748  0.764  0.798
  0.816  0.85   0.866  0.886  0.902  0.938  0.972  0.988]",18,"[0.04245943 0.0397432  0.03413751 0.03235213 0.03136349 0.03091578
 0.03025027 0.03011196 0.03001086 0.02977764 0.02966888 0.02944404
 0.02935633 0.0292381  0.02918252 0.02897416 0.02880667 0.02876322]"
0.515959595959596,-0.192,[-0.192 -0.158 -0.118 -0.088 -0.04  -0.002  0.032  0.106],8,"[0.04720237 0.04604597 0.04506053 0.04398276 0.04307207 0.04207491
 0.04130489 0.03972356]"
0.5098989898989899,0.126,[0.126 0.278 0.314 0.35  0.384],5,[0.03631944 0.03415754 0.03376214 0.03330054 0.03287359]
0.5139393939393939,-0.094,"[-0.094  0.058  0.132  0.51   0.58   0.682  0.768  0.82   0.87   0.906
  0.942  0.958  0.974]",13,"[0.04281082 0.03947914 0.03807421 0.0327297  0.0319735  0.03106233
 0.03035933 0.02999186 0.02967069 0.02947434 0.02921944 0.02917202
 0.0290888 ]"
0.517979797979798,-0.998,"[-0.998 -0.928 -0.854 -0.826 -0.78  -0.752 -0.706 -0.678 -0.632 -0.56
 -0.334 -0.256 -0.188 -0.084  0.     0.032]",16,"[0.10547828 0.0959217  0.08805228 0.08670023 0.08159245 0.07967871
 0.07588221 0.07327647 0.07029888 0.0649758  0.05378538 0.05111461
 0.04867531 0.04556183 0.04378999 0.04236629]"
