,,Energy,Intensity
spectrum35,14,0.498,3.86096138
spectrum35,15,0.538,3.29025223
spectrum35,16,0.59,5.24074767
spectrum35,17,0.73,8.31810277
spectrum35,18,0.818,2.81644403
spectrum35,19,0.868,4.37430774
spectrum36,0,-0.602,4.45925261
spectrum36,1,-0.302,4.48757365
spectrum36,2,-0.108,13.7666277
spectrum36,3,-0.022,4.92018641
spectrum36,4,0.2,26.681945399999996
spectrum36,5,0.37,3.73468369
spectrum36,6,0.48,26.1967518
spectrum36,7,0.828,14.138581699999998
spectrum36,8,0.87,13.901876300000001
spectrum37,0,-0.83,15.7886217
spectrum37,1,0.922,56.84187370000001
spectrum38,0,-0.614,4.20523408
spectrum38,1,-0.322,4.00117342
spectrum38,2,-0.126,13.2460566
spectrum38,3,-0.038,4.68702813
spectrum38,4,0.182,26.944431400000003
spectrum38,5,0.36,3.32374404
spectrum38,6,0.468,27.0365715
spectrum38,7,0.806,14.4286992
spectrum38,8,0.854,13.363316399999999
spectrum39,0,-0.618,4.28658813
spectrum39,1,-0.324,4.19921503
spectrum39,2,-0.128,13.4981602
spectrum39,3,-0.034,4.91706827
spectrum39,4,0.008,2.87519878
spectrum39,5,0.178,27.2396892
spectrum39,6,0.358,3.2473489
spectrum39,7,0.468,27.8217826
spectrum39,8,0.806,14.248209
spectrum39,9,0.856,13.256754800000001
spectrum40,0,-0.806,14.8653357
spectrum40,1,0.556,5.83721849
spectrum40,2,0.938,51.3530667
spectrum41,0,-0.618,4.28291724
spectrum41,1,-0.324,4.20303923
spectrum41,2,-0.128,13.5210484
spectrum41,3,-0.034,4.9185594
spectrum41,4,0.008,2.86278726
spectrum41,5,0.178,27.2452081
spectrum41,6,0.358,3.25475987
spectrum41,7,0.468,27.8333266
spectrum41,8,0.804,14.239681400000002
spectrum41,9,0.856,13.262400099999999
spectrum42,0,-0.616,4.21752651
spectrum42,1,-0.32,4.23755624
spectrum42,2,-0.126,13.2586134
spectrum42,3,-0.036,4.89346131
spectrum42,4,0.182,26.99642
spectrum42,5,0.358,3.42376429
spectrum42,6,0.468,27.231451
spectrum42,7,0.806,14.6164073
spectrum42,8,0.854,13.3880992
spectrum43,0,-0.83,16.0889141
spectrum43,1,0.922,57.0612797
spectrum44,0,-0.6,4.46065287
spectrum44,1,-0.302,4.47722575
